market,timestamp,open,high,low,close,volume
KRW-BTC,2026-01-01T00:00:00,100000000,100600800.0,99400000.0,100200000.0,1000
KRW-BTC,2026-01-01T00:01:00,100200000.0,100981000.0022,99690923.4179,100410373.6755,1030
KRW-BTC,2026-01-01T00:02:00,100410373.6755,101216437.1436,99925161.2621,100630906.6679,1060
KRW-BTC,2026-01-01T00:03:00,100630906.6679,101293027.0021,100029135.3562,100861115.4972,1090
KRW-BTC,2026-01-01T00:04:00,100861115.4972,101657686.3039,100325816.5858,101100259.4091,1120
KRW-BTC,2026-01-01T00:05:00,101100259.4091,101947117.4935,100638501.7304,101347359.171,1150
KRW-BTC,2026-01-01T00:06:00,101347359.171,102064405.2086,100747348.2885,101601222.4067,1180
KRW-BTC,2026-01-01T00:07:00,101601222.4067,102401758.7252,101041622.7358,101860474.8918,1210
KRW-BTC,2026-01-01T00:08:00,101860474.8918,102734165.1094,101423391.5871,102123597.0753,1240
KRW-BTC,2026-01-01T00:09:00,102123597.0753,102882913.5651,101529006.8875,102388964.9351,1270
KRW-BTC,2026-01-01T00:10:00,102388964.9351,103177206.5749,101807585.7446,102654894.1392,1300
KRW-BTC,2026-01-01T00:11:00,102654894.1392,103537202.463,102243365.9236,102919686.3607,1330
KRW-BTC,2026-01-01T00:12:00,102919686.3607,103705132.1895,102334309.2457,103181676.497,1360
KRW-BTC,2026-01-01T00:13:00,103181676.497,103939960.1486,102581686.0305,103439279.4796,1390
KRW-BTC,2026-01-01T00:14:00,103439279.4796,104311233.6741,102997234.363,103691035.3281,1420
KRW-BTC,2026-01-01T00:15:00,103691035.3281,104486569.9012,103118725.5344,103935651.1165,1450
KRW-BTC,2026-01-01T00:16:00,103935651.1165,104648709.6808,103320838.5888,104172038.5757,1480
KRW-BTC,2026-01-01T00:17:00,104172038.5757,105017682.0837,103698021.7697,104399346.16,1510
KRW-BTC,2026-01-01T00:18:00,104399346.16,105192584.5348,103843875.5101,104616984.5542,1540
KRW-BTC,2026-01-01T00:19:00,104616984.5542,105275365.0173,103991646.0245,104824644.7877,1570
KRW-BTC,2026-01-01T00:20:00,104824644.7877,105634156.8145,104319792.0942,105022308.3458,1000
KRW-BTC,2026-01-01T00:21:00,105022308.3458,105807139.4156,104487171.5299,105210248.9239,1030
KRW-BTC,2026-01-01T00:22:00,105210248.9239,105812447.4966,104578995.6733,105389025.7319,1060
KRW-BTC,2026-01-01T00:23:00,105389025.7319,106160359.5604,104855160.1232,105559468.534,1090
KRW-BTC,2026-01-01T00:24:00,105559468.534,106337025.7863,105047678.4387,105722654.8695,1120
KRW-BTC,2026-01-01T00:25:00,105722654.8695,106331426.4458,105090179.0645,105879880.1503,1150
KRW-BTC,2026-01-01T00:26:00,105879880.1503,106618464.1735,105319369.1491,106032621.5442,1180
KRW-BTC,2026-01-01T00:27:00,106032621.5442,106810327.4934,105546538.5705,106182496.7387,1210
KRW-BTC,2026-01-01T00:28:00,106182496.7387,106814155.1764,105553342.9632,106331218.8158,1240
KRW-BTC,2026-01-01T00:29:00,106331218.8158,107047798.9571,105746810.2028,106480548.5628,1270
KRW-BTC,2026-01-01T00:30:00,106480548.5628,107269486.6342,106021776.8105,106632245.5902,3300
KRW-BTC,2026-01-01T00:31:00,106632245.5902,107301464.4717,106010634.5444,106788019.6331,1330
KRW-BTC,2026-01-01T00:32:00,106788019.6331,107495230.9022,106182697.4334,106949483.3714,1360
KRW-BTC,2026-01-01T00:33:00,106949483.3714,107760797.7996,106518845.5554,107118108.0341,1390
KRW-BTC,2026-01-01T00:34:00,107118108.0341,107837899.7282,106507841.1173,107295182.9492,1420
KRW-BTC,2026-01-01T00:35:00,107295182.9492,108003750.8636,106672078.5764,107481780.0722,1450
KRW-BTC,2026-01-01T00:36:00,107481780.0722,108323026.2485,107024345.4217,107678724.3873,1480
KRW-BTC,2026-01-01T00:37:00,107678724.3873,108456975.4399,107083171.8723,107886570.9114,1510
KRW-BTC,2026-01-01T00:38:00,107886570.9114,108602089.4268,107248945.3869,108105588.8719,1540
KRW-BTC,2026-01-01T00:39:00,108105588.8719,108977923.466,107615515.334,108335753.4535,1570
